Attachments,Number,Ticket Type,Creation,WorkOn,Excavator,County,City,Address,Street,Intersection,ExcavatorPhone,TakenBy,Work Done For,Nature of Work,Duration
0,2383595194,Normal,2023-12-01T04:14:18-06:00,2023-12-05T04:15:00-06:00,Silverton ,BRISCOE,SILVERTON,1000,Main St,10th St,8068477022,publicworksdirectorsilverton@yahoo.com,City of Silverton,Repair-Water Leak,6 hours
0,2383594846,Normal,2023-12-01T04:01:42-06:00,2023-12-05T04:00:00-06:00,Silverton ,BRISCOE,SILVERTON,103,Grady ST,First St,8068477022,publicworksdirectorsilverton@yahoo.com,City of Silverton,Sewer Tap,6 hours
0,2383135322,Normal,2023-11-27T10:55:23-06:00,2023-11-29T10:45:00-06:00,Lighthouse Electric Coop.,BRISCOE,SILVERTON,0,State HWY 86,County Rd 21,8069832814,adrianm@lighthouse.coop,Atmos - ONEOK,Power Line Construction,30 Days
0,2383131950,Normal,2023-11-27T08:49:16-06:00,2023-12-04T01:00:00-06:00,Aep Texas,BRISCOE,QUITAQUE,,2nd St,Jones St,9409373192,tdsession@aep.com,AEP Texas W85650581 Pole ,Replace-Pole,01 Day
0,2383123519,Update,2023-11-27T04:31:43-06:00,2023-11-29T04:45:43-06:00,NPL CONSTRUCTION,BRISCOE,QUITAQUE,,HWY 86,COUNTY ROAD 24,9187946746,NPLTULSA@YAHOO.COM,ATMOS,Repair-Main Gas Line,2 WEEKS
0,2382474900,Normal,2023-11-20T09:30:38-06:00,2023-11-22T09:30:00-06:00,TXDOT,BRISCOE,QUITAQUE,225,Main St,Third,8064456569,Randy.pointer@txdot.gov,TxDOT,Mailbox Installation,2 weeks
0,2382468785,Update,2023-11-20T05:57:13-06:00,2023-11-22T06:00:13-06:00,NPL CONSTRUCTION,BRISCOE,QUITAQUE,,HWY 86,COUNTY ROAD 21,9187946746,NPLTULSA@YAHOO.COM,ATMOS,Repair-Main Gas Line,2 WEEKS
0,2382461550,Normal,2023-11-20T02:32:44-06:00,2023-11-27T01:00:00-06:00,Aep Texas,BRISCOE,QUITAQUE,,County Road 28,TX Highway 86,9409373192,tdsession@aep.com,AEP Texas WR86298118,Relocate (1) Pole & (3) Downguys,01 Day
0,2382461298,Normal,2023-11-20T02:22:29-06:00,2023-11-27T01:00:00-06:00,Aep Texas,BRISCOE,QUITAQUE,535,State Highway 86,County Road 28,9409373192,tdsession@aep.com,AEP Texas WR86294785,Install (3) Poles & (1) Downguy,01 Day
0,2382256924,Normal,2023-11-18T04:55:07-06:00,2023-11-21T18:00:00-06:00,Silverton ,BRISCOE,SILVERTON,800,Braidfoot St,8TH St,8068477022,publicworksdirectorsilverton@yahoo.com,City of Silverton,Repair-Main Water Line,6 Hours
0,2382153044,Normal,2023-11-17T08:38:47-06:00,2023-11-21T08:45:00-06:00,FSI,BRISCOE,QUITAQUE,,CR 32,TX-86,8064551702,Texas811,ROBERT PATRICK,Other: DITICHING,1 DAY
0,2381899225,Normal,2023-11-14T04:35:26-06:00,2023-11-16T04:45:00-06:00,Aep Texas,BRISCOE,QUITAQUE,,County Road KK,County Road 36,9409373192,tdsession@aep.com,AEP Texas WR86010244,Replace (4) Poles ,01 Day
0,2381803131,Normal,2023-11-14T07:06:58-06:00,2023-11-16T07:00:00-06:00,ZACH BURSON,BRISCOE,SILVERTON,10890,FM 145,TX-86,8067870742,Texas811,ZACH BURSON,Install-Water Line,1 WEEK
0,2381800766,Normal,2023-11-14T05:26:02-06:00,2023-11-16T05:30:00-06:00,TERRACON,BRISCOE,SILVERTON,,207 TX,FM 145,8065006885,jerry.sayson@terracon.com,NEXTERA,Bore-Auger-Soil Sample,30 DAYS
0,2381783338,Normal,2023-11-13T05:19:47-06:00,2023-11-15T05:30:00-06:00,CITY OF QUITAQUE,BRISCOE,QUITAQUE,,morris,fifth st,8064551456,city_of_quitaque@hotmail.com,city of quitaque,Install-Water Service,6 hrs
0,2381780001,Update,2023-11-13T03:37:07-06:00,2023-11-15T03:45:06-06:00,NPL CONSTRUCTION,BRISCOE,QUITAQUE,,HWY 86,COUNTY ROAD 24,9187946746,NPLTULSA@YAHOO.COM,ATMOS,Repair-Main Gas Line,2 WEEKS
0,2381118510,Update,2023-11-07T06:26:44-06:00,2023-11-09T06:30:44-06:00,NPL CONSTRUCTION,BRISCOE,QUITAQUE,,HWY 86,COUNTY ROAD 21,9187946746,NPLTULSA@YAHOO.COM,ATMOS,Repair-Main Gas Line,2 WEEKS
0,2381096414,Normal,2023-11-06T05:39:02-06:00,2023-11-08T05:45:00-06:00,SILVERTON OIL COMPANY,BRISCOE,SILVERTON,888,FM 284,CR H,8068477367,silvertonoilco@gmail.com,Dale McWaters,Bury-Gas Service,3 days
