Attachments,Number,Ticket Type,Creation,WorkOn,Excavator,County,City,Address,Street,Intersection,ExcavatorPhone,TakenBy,Work Done For,Nature of Work,Duration
0,2477424284,Normal,2024-09-30T06:42:00-05:00,2024-10-02T06:45:00-05:00,LIBERTY ELECTRIC,HALL,MEMPHIS,318,Harrison St,3RD ST ,8063350918,Texas811,MEPHIS FARMERS GIN CO ,Repair-Gas Service Line,1-2 DAYS 
0,2477423282,Update,2024-09-30T06:13:14-05:00,2024-10-02T06:15:14-05:00,"Earth Builders, LP",HALL,BRICE,,SH-70,CR-3,9406270686,stan.hudson@earthbuilders.net,TxDOT,BRIDGE REPLACEMENT,2.5 yr
0,2476969293,Normal,2024-09-25T07:18:42-05:00,2024-09-27T07:30:00-05:00,"Coast to Coast Communications, Inc",HALL,MEMPHIS,,Medical Dr,US-287,9722261080,coast_to_coast_2004@yahoo.com,Lumen,Bury-Fiber Optic Cable,2 weeks
0,2476969085,Normal,2024-09-25T07:10:32-05:00,2024-09-27T07:15:00-05:00,"Coast to Coast Communications, Inc",HALL,MEMPHIS,,Front St,Noel St,9722261080,coast_to_coast_2004@yahoo.com,Lumen,Bury-Fiber Optic Cable,2 weeks
0,2476967388,Normal,2024-09-25T06:11:28-05:00,2024-09-27T06:15:00-05:00,Heartland Contracting Services Inc.,HALL,ESTELLINE,6875,US HWY 287,CR 31,4054737915,david@hcsi.pro,TILLMAN INFRASTRUCTURE,NEW CELL TOWER ,1 MONTH 
0,2476967024,Normal,2024-09-25T05:57:53-05:00,2024-09-27T06:00:00-05:00,"Coast to Coast Communications, Inc",HALL,MEMPHIS,,Boykin Dr,N 10th St,9722261080,coast_to_coast_2004@yahoo.com,Lumen,Bury-Fiber Optic Cable,2 weeks
0,2476966100,Normal,2024-09-25T05:28:02-05:00,2024-09-27T05:30:00-05:00,"Coast to Coast Communications, Inc",HALL,MEMPHIS,,US 287,W Davis St,9722261080,coast_to_coast_2004@yahoo.com,Lumen,Bury-Fiber Optic Cable,2 weeks
0,2476966044,Normal,2024-09-25T05:26:21-05:00,2024-09-27T05:30:00-05:00,"Coast to Coast Communications, Inc",HALL,MEMPHIS,,US 287,Co Rd H,9722261080,coast_to_coast_2004@yahoo.com,Lumen,Bury-Fiber Optic Cable,2 weeks
0,2476965804,Normal,2024-09-25T05:18:55-05:00,2024-09-27T05:30:00-05:00,"Coast to Coast Communications, Inc",HALL,MEMPHIS,,US 287,Co Rd H,9722261080,coast_to_coast_2004@yahoo.com,Lumen,Bury-Fiber Optic Cable,2 weeks
0,2476965785,Normal,2024-09-25T05:18:02-05:00,2024-09-27T05:15:00-05:00,"Coast to Coast Communications, Inc",HALL,MEMPHIS,,US 287,Co Rd 26,9722261080,coast_to_coast_2004@yahoo.com,Lumen,Bury-Fiber Optic Cable,2 weeks
0,2476965696,Recall,2024-09-25T05:15:16-05:00,2024-09-27T05:15:00-05:00,"Coast to Coast Communications, Inc",HALL,MEMPHIS,,US 287,Co Rd J,9722261080,Texas811,Lumen,Bury-Fiber Optic Cable,2 weeks
0,2476965650,Normal,2024-09-25T05:13:50-05:00,2024-09-27T05:15:00-05:00,"Coast to Coast Communications, Inc",HALL,MEMPHIS,,Co Rd J,US 287,9722261080,coast_to_coast_2004@yahoo.com,Lumen,Bury-Fiber Optic Cable,2 weeks
0,2476965599,Normal,2024-09-25T05:12:18-05:00,2024-09-27T05:15:00-05:00,"Coast to Coast Communications, Inc",HALL,MEMPHIS,,US 287,Co Rd I,9722261080,coast_to_coast_2004@yahoo.com,Lumen,Bury-Fiber Optic Cable,2 weeks
0,2476965510,Normal,2024-09-25T05:09:52-05:00,2024-09-27T05:15:00-05:00,"Coast to Coast Communications, Inc",HALL,MEMPHIS,,US 287,Co Rd E,9722261080,Texas811,Lumen,Bury-Fiber Optic Cable,2 weeks
